0,0,0,0,0,7,35,53,78,114,79,71,65,59,38,5,0,0,0,0
0,0,0,0,20,63,62,84,168,170,176,154,112,65,48,32,12,0,0,0
0,0,0,14,49,74,116,170,194,178,188,181,184,108,28,57,84,14,0,0
0,0,23,43,49,157,175,184,196,204,190,129,81,69,16,18,74,88,12,0
0,11,50,77,169,198,143,174,192,191,156,63,9,55,26,31,38,80,42,0
2,46,75,172,194,192,126,147,188,163,76,65,34,75,20,25,13,42,91,3
17,78,142,193,153,186,150,109,152,110,65,23,39,59,5,2,9,19,123,30
46,98,180,198,141,92,83,72,84,96,174,129,22,3,0,16,26,24,96,66
53,100,201,203,187,94,110,136,113,103,84,134,104,56,8,15,29,74,117,48
50,129,212,204,191,131,149,136,98,88,44,37,118,130,97,15,10,113,137,46
63,160,207,201,191,187,173,133,84,35,81,10,22,68,135,70,10,147,163,69
103,170,198,192,174,166,119,191,139,76,138,46,33,9,53,104,48,152,180,104
122,173,192,130,45,41,29,123,105,139,185,43,85,105,38,73,82,159,171,106
104,164,179,62,56,124,81,109,86,180,177,44,205,255,142,28,101,177,179,83
82,133,168,64,203,248,238,208,156,254,246,108,192,250,220,88,160,186,130,19
32,64,99,94,247,227,225,194,167,255,255,138,117,245,248,123,171,170,49,0
4,40,17,108,255,230,243,154,132,190,168,123,59,145,181,77,154,133,9,0
0,24,56,74,192,231,195,116,151,169,154,151,107,92,30,25,140,61,0,0
0,3,47,125,86,74,106,125,104,178,189,93,78,45,51,83,68,2,0,0
0,0,2,80,156,95,61,65,58,106,146,74,87,72,67,41,2,0,0,0
