-20,0,9,-26,-23,3,-14,-3,23,42,20,80,84,15,49,55,54,55,7,-16,0,-1,0,-39,-9
7,19,1,-3,-5,38,21,96,80,63,163,197,211,163,154,74,62,55,65,13,16,16,28,29,14
7,-27,13,-7,-8,48,63,50,43,137,214,123,168,182,178,183,148,46,33,81,64,-7,-11,-32,2
10,16,23,11,24,47,25,156,165,187,219,195,212,155,171,182,147,28,15,18,138,27,-7,1,-34
-20,5,30,62,60,7,154,209,135,187,188,173,210,192,125,61,72,50,-1,38,53,154,81,16,15
5,1,11,60,35,198,199,179,127,203,191,188,200,151,34,-5,56,73,12,19,54,28,86,0,-17
-10,42,51,43,196,198,201,185,54,209,202,174,157,66,92,-6,17,81,-10,50,49,-22,150,2,-11
-10,54,60,141,182,172,191,194,118,166,180,155,87,-11,46,44,108,61,-24,1,-8,-33,145,90,15
-11,86,95,208,194,122,159,215,98,75,158,74,103,98,7,17,59,5,26,12,34,0,2,183,-49
25,121,111,217,189,164,37,44,62,63,90,52,187,224,150,22,-15,15,-6,30,29,-3,26,128,13
32,66,188,211,192,171,161,8,169,127,83,118,65,69,182,111,59,13,3,16,34,5,188,43,69
29,70,220,215,211,193,166,73,202,165,111,90,107,-12,65,175,131,100,-8,-1,30,29,184,21,64
28,93,231,197,201,185,154,164,158,100,74,63,90,24,-33,110,84,175,177,20,-15,59,165,113,89
70,132,207,187,207,197,200,229,153,156,103,14,61,119,26,-18,-9,51,159,38,-21,72,178,193,62
87,142,217,191,186,180,174,102,83,241,192,16,181,96,17,28,4,14,46,175,7,118,201,227,50
85,165,197,164,107,43,31,26,52,171,79,83,294,131,15,65,93,-3,39,125,42,114,206,174,43
75,165,219,187,47,26,60,33,22,28,90,131,194,55,14,183,249,281,61,6,62,161,221,165,68
52,154,191,136,24,102,250,186,213,224,97,202,264,212,-33,224,288,268,138,-16,105,165,213,122,94
34,137,163,149,29,254,260,267,285,213,90,250,222,245,57,220,265,219,269,14,172,223,181,63,4
-11,59,55,95,81,268,205,206,254,138,112,294,250,289,144,85,255,241,237,11,217,192,122,-13,-1
4,47,20,6,126,278,279,219,221,83,110,262,142,300,97,-21,125,215,167,80,202,188,72,-22,38
-1,50,63,30,88,331,223,240,210,130,128,225,33,195,73,153,89,-79,11,83,149,187,5,-27,-13
-16,18,33,128,45,22,132,167,144,147,156,221,188,189,124,23,47,156,124,104,150,55,-58,-41,-7
7,16,-9,35,155,128,17,43,68,86,35,54,227,162,41,115,94,10,63,23,31,-48,-15,15,59
-20,45,-77,-8,54,147,145,104,117,44,89,89,168,104,47,115,79,51,96,8,24,-19,16,8,-5
